Library,Time,LK1-G09_r2.cells,LK1-B04_r2.cells,LK5-B01_r2.cells,LK4-B01_r2.cells,LK2-A12_r2.cells,LK2-D07_r2.cells,LK6-A05_r2.cells,LK1-G11_r2.cells,LK1-F05_r2.cells,LK2-B04_r2.cells,LK1-A05_r2.cells
GCF-4,4,706137.1377371365,755846.9457268748,778998.4016072678,733799.9667990888,777961.5201462824,904382.1969796133,866331.7767823564,923755.3986832568,851698.6046146464,1076547.9141397919,1318537.2706083418
GCF-7,7,2495836.2430728865,2992884.3297822354,2913406.6345047816,2988374.1157962233,3505324.3200540994,4061339.7290660758,4709384.1840772005,5029539.427710063,5006091.181026207,6719990.743373742,8448686.118966015
GCF-10,10,7557854.847857424,9761288.687369527,9103683.400150876,9832600.937303346,12191892.554474689,15314491.847707689,20154013.985446904,21096265.06727921,21917510.22292369,32378159.396486275,42545077.46372685
GCF-13,13,24759876.597941443,32124104.476273455,28340740.471514694,31491916.815727778,47126379.13542498,56051713.602776766,94138277.12098852,105415275.46241458,106548550.1009655,167323599.4329801,238471738.1543082
GCF-16,16,61692040.151610196,79010602.52262008,66808901.33029321,84986355.4384862,115942482.39035422,171188128.09780827,243504464.97137284,304936548.3084682,328484893.8128361,527397177.9526847,801450112.9669771
GCF-20,20,67517585.47693498,92353354.54897815,80925024.97632593,99508768.4202254,124947874.82409057,201666908.05368438,294312139.59581614,396115394.9505517,356109514.99280953,558306024.825203,1073917291.2084785
GCF-24,24,72693868.53200698,99047860.34299377,85500176.92692007,143938327.89551973,180144941.71222782,230077757.00959495,425573677.1167747,619281791.3124444,516122502.4261095,575821305.9625608,1275830016.1867902
GCF-29,29,60677602.65389618,75359638.99191323,73168556.8403886,148097123.09320533,237127650.95429635,191096541.2728459,512811624.30134743,823536103.3875964,684891414.4507124,454847048.49241483,1273230064.2340527
GCF-36,36,45487698.0957116,52608880.42329291,59210133.972386435,103815167.14906298,341470551.1604496,128175630.49669757,609779755.4368594,1094238255.8811426,970622467.7513361,373617596.83035666,1087631350.932283
